MES_REFERENCIA;VENDEDOR;SUBMARCA;META_FATURAMENTO
2025-01;VEN041;Energéticos;93498.64
2025-01;VEN041;Isotônicos;57376.23
2025-01;VEN041;Cerveja Premium;53754.06
2025-01;VEN042;Energéticos;103055.09
2025-01;VEN042;Isotônicos;44711.95
2025-01;VEN042;Cerveja Premium;40109.39
2025-01;VEN043;Energéticos;79147.81
2025-01;VEN043;Isotônicos;45754.82
2025-01;VEN043;Cerveja Premium;54187.55
2025-01;VEN044;Energéticos;87980.81
2025-01;VEN044;Isotônicos;42267.4
2025-01;VEN044;Cerveja Premium;62068.5
2025-01;VEN045;Energéticos;76428.7
2025-01;VEN045;Isotônicos;51639.65
2025-01;VEN045;Cerveja Premium;42846.97
2025-01;VEN046;Energéticos;95239.62
2025-01;VEN046;Isotônicos;53682.57
2025-01;VEN046;Cerveja Premium;48046.64
2025-01;VEN047;Energéticos;78523.28
2025-01;VEN047;Isotônicos;56154.16
2025-01;VEN047;Cerveja Premium;48127.65
2025-01;VEN048;Energéticos;85498.0
2025-01;VEN048;Isotônicos;53119.18
2025-01;VEN048;Cerveja Premium;41234.89
2025-01;VEN049;Energéticos;92753.39
2025-01;VEN049;Isotônicos;58590.93
2025-01;VEN049;Cerveja Premium;31141.95
2025-01;VEN050;Energéticos;97806.42
2025-01;VEN050;Isotônicos;64307.69
2025-01;VEN050;Cerveja Premium;32615.64
2025-01;VEN051;Energéticos;70271.24
2025-01;VEN051;Isotônicos;58975.82
2025-01;VEN051;Cerveja Premium;49921.2
2025-01;VEN052;Energéticos;88244.84
2025-01;VEN052;Isotônicos;45983.51
2025-01;VEN052;Cerveja Premium;51347.77
2025-01;VEN053;Energéticos;63163.42
2025-01;VEN053;Isotônicos;67694.34
2025-01;VEN053;Cerveja Premium;46583.25
2025-01;VEN054;Energéticos;91120.45
2025-01;VEN054;Isotônicos;66841.67
2025-01;VEN054;Cerveja Premium;40838.79
2025-01;VEN055;Energéticos;81914.94
2025-01;VEN055;Isotônicos;44703.56
2025-01;VEN055;Cerveja Premium;41938.78
2025-01;VEN056;Energéticos;88219.22
2025-01;VEN056;Isotônicos;46468.03
2025-01;VEN056;Cerveja Premium;53574.65
2025-01;VEN057;Energéticos;98432.59
2025-01;VEN057;Isotônicos;57697.94
2025-01;VEN057;Cerveja Premium;34595.66
2025-01;VEN058;Energéticos;107379.53
2025-01;VEN058;Isotônicos;50773.82
2025-01;VEN058;Cerveja Premium;44075.27
2025-01;VEN059;Energéticos;88686.03
2025-01;VEN059;Isotônicos;54737.79
2025-01;VEN059;Cerveja Premium;51403.88
2025-01;VEN060;Energéticos;79041.47
2025-01;VEN060;Isotônicos;50922.67
2025-01;VEN060;Cerveja Premium;39142.5
2025-01;VEN061;Energéticos;70971.27
2025-01;VEN061;Isotônicos;59755.69
2025-01;VEN061;Cerveja Premium;40874.86
2025-01;VEN062;Energéticos;94769.61
2025-01;VEN062;Isotônicos;54877.24
2025-01;VEN062;Cerveja Premium;46234.36
2025-01;VEN063;Energéticos;76139.41
2025-01;VEN063;Isotônicos;46386.91
2025-01;VEN063;Cerveja Premium;48127.86
2025-01;VEN064;Energéticos;103634.95
2025-01;VEN064;Isotônicos;41851.05
2025-01;VEN064;Cerveja Premium;43755.95
2025-01;VEN065;Energéticos;105269.58
2025-01;VEN065;Isotônicos;61530.28
2025-01;VEN065;Cerveja Premium;49357.78
2025-01;VEN066;Energéticos;104002.92
2025-01;VEN066;Isotônicos;50673.99
2025-01;VEN066;Cerveja Premium;63322.32
2025-01;VEN067;Energéticos;99427.55
2025-01;VEN067;Isotônicos;51485.93
2025-01;VEN067;Cerveja Premium;41753.41
2025-01;VEN068;Energéticos;76459.2
2025-01;VEN068;Isotônicos;47377.63
2025-01;VEN068;Cerveja Premium;40051.55
2025-01;VEN069;Energéticos;94759.4
2025-01;VEN069;Isotônicos;63052.68
2025-01;VEN069;Cerveja Premium;40274.1
2025-01;VEN070;Energéticos;105797.36
2025-01;VEN070;Isotônicos;41848.93
2025-01;VEN070;Cerveja Premium;41703.0
2025-01;VEN071;Energéticos;72714.45
2025-01;VEN071;Isotônicos;40143.19
2025-01;VEN071;Cerveja Premium;55338.02
2025-01;VEN072;Energéticos;101664.98
2025-01;VEN072;Isotônicos;48032.08
2025-01;VEN072;Cerveja Premium;52904.53
2025-01;VEN073;Energéticos;96755.63
2025-01;VEN073;Isotônicos;54673.2
2025-01;VEN073;Cerveja Premium;41463.26
2025-01;VEN074;Energéticos;97158.86
2025-01;VEN074;Isotônicos;44472.67
2025-01;VEN074;Cerveja Premium;47034.57
2025-01;VEN075;Energéticos;92391.59
2025-01;VEN075;Isotônicos;39571.91
2025-01;VEN075;Cerveja Premium;62397.55
2025-01;VEN076;Energéticos;107140.81
2025-01;VEN076;Isotônicos;55675.77
2025-01;VEN076;Cerveja Premium;44686.99
2025-01;VEN077;Energéticos;90836.17
2025-01;VEN077;Isotônicos;61365.5
2025-01;VEN077;Cerveja Premium;49550.79
2025-01;VEN078;Energéticos;86297.52
2025-01;VEN078;Isotônicos;57593.87
2025-01;VEN078;Cerveja Premium;45994.39
2025-01;VEN079;Energéticos;99832.32
2025-01;VEN079;Isotônicos;56037.27
2025-01;VEN079;Cerveja Premium;35523.69
2025-01;VEN080;Energéticos;79198.52
2025-01;VEN080;Isotônicos;54403.23
2025-01;VEN080;Cerveja Premium;50868.19
2025-01;VEN081;Energéticos;102184.81
2025-01;VEN081;Isotônicos;59710.0
2025-01;VEN081;Cerveja Premium;41355.82
2025-01;VEN082;Energéticos;96879.17
2025-01;VEN082;Isotônicos;51562.82
2025-01;VEN082;Cerveja Premium;39124.64
2025-01;VEN083;Energéticos;91759.96
2025-01;VEN083;Isotônicos;47240.44
2025-01;VEN083;Cerveja Premium;58884.63
2025-01;VEN084;Energéticos;85885.88
2025-01;VEN084;Isotônicos;50305.88
2025-01;VEN084;Cerveja Premium;51430.12
2025-01;VEN085;Energéticos;115085.9
2025-01;VEN085;Isotônicos;65562.21
2025-01;VEN085;Cerveja Premium;44056.92
2025-01;VEN086;Energéticos;79110.32
2025-01;VEN086;Isotônicos;64917.32
2025-01;VEN086;Cerveja Premium;51416.65
2025-01;VEN087;Energéticos;81970.05
2025-01;VEN087;Isotônicos;44602.28
2025-01;VEN087;Cerveja Premium;48487.53
2025-01;VEN088;Energéticos;77413.56
2025-01;VEN088;Isotônicos;52526.66
2025-01;VEN088;Cerveja Premium;54637.85
2025-01;VEN089;Energéticos;66544.75
2025-01;VEN089;Isotônicos;72934.69
2025-01;VEN089;Cerveja Premium;43346.75
2025-01;VEN090;Energéticos;90023.09
2025-01;VEN090;Isotônicos;61024.82
2025-01;VEN090;Cerveja Premium;50830.71
2025-01;VEN091;Energéticos;78486.53
2025-01;VEN091;Isotônicos;52699.17
2025-01;VEN091;Cerveja Premium;36312.47
2025-01;VEN092;Energéticos;82653.09
2025-01;VEN092;Isotônicos;49892.02
2025-01;VEN092;Cerveja Premium;44464.85
2025-01;VEN093;Energéticos;67125.11
2025-01;VEN093;Isotônicos;60574.92
2025-01;VEN093;Cerveja Premium;61098.97
2025-01;VEN094;Energéticos;98556.31
2025-01;VEN094;Isotônicos;69108.71
2025-01;VEN094;Cerveja Premium;52283.8
2025-01;VEN095;Energéticos;84534.44
2025-01;VEN095;Isotônicos;56688.39
2025-01;VEN095;Cerveja Premium;55915.91
2025-01;VEN096;Energéticos;61382.28
2025-01;VEN096;Isotônicos;66555.95
2025-01;VEN096;Cerveja Premium;38352.13
2025-01;VEN097;Energéticos;70741.6
2025-01;VEN097;Isotônicos;53872.56
2025-01;VEN097;Cerveja Premium;55912.21
2025-01;VEN098;Energéticos;88037.69
2025-01;VEN098;Isotônicos;65669.89
2025-01;VEN098;Cerveja Premium;36366.06
2025-01;VEN099;Energéticos;89842.41
2025-01;VEN099;Isotônicos;58210.68
2025-01;VEN099;Cerveja Premium;45121.6
2025-01;VEN100;Energéticos;86210.88
2025-01;VEN100;Isotônicos;59954.36
2025-01;VEN100;Cerveja Premium;44920.89
2025-02;VEN001;Energéticos;92795.22
2025-02;VEN001;Isotônicos;59025.74
2025-02;VEN001;Cerveja Premium;42443.37
2025-02;VEN002;Energéticos;82188.22
2025-02;VEN002;Isotônicos;73048.32
2025-02;VEN002;Cerveja Premium;43126.9
2025-02;VEN003;Energéticos;98507.63
2025-02;VEN003;Isotônicos;54460.86
2025-02;VEN003;Cerveja Premium;47021.3
2025-02;VEN004;Energéticos;82806.97
2025-02;VEN004;Isotônicos;47435.19
2025-02;VEN004;Cerveja Premium;40480.53
2025-02;VEN005;Energéticos;86021.67
2025-02;VEN005;Isotônicos;57854.98
2025-02;VEN005;Cerveja Premium;51164.35
2025-02;VEN006;Energéticos;79128.97
2025-02;VEN006;Isotônicos;51096.25
2025-02;VEN006;Cerveja Premium;50857.7
2025-02;VEN007;Energéticos;64931.65
2025-02;VEN007;Isotônicos;51629.14
2025-02;VEN007;Cerveja Premium;46727.75
2025-02;VEN008;Energéticos;99440.84
2025-02;VEN008;Isotônicos;44009.47
2025-02;VEN008;Cerveja Premium;59475.87
2025-02;VEN009;Energéticos;71951.44
2025-02;VEN009;Isotônicos;50294.08
2025-02;VEN009;Cerveja Premium;44511.06
2025-02;VEN010;Energéticos;83023.53
2025-02;VEN010;Isotônicos;47168.17
2025-02;VEN010;Cerveja Premium;45545.43
2025-02;VEN011;Energéticos;105368.18
2025-02;VEN011;Isotônicos;49680.74
2025-02;VEN011;Cerveja Premium;41027.89
2025-02;VEN012;Energéticos;96323.5
2025-02;VEN012;Isotônicos;50386.67
2025-02;VEN012;Cerveja Premium;50340.65
2025-02;VEN013;Energéticos;106666.53
2025-02;VEN013;Isotônicos;45427.33
2025-02;VEN013;Cerveja Premium;37201.12
2025-02;VEN014;Energéticos;88669.49
2025-02;VEN014;Isotônicos;37201.06
2025-02;VEN014;Cerveja Premium;59686.3
2025-02;VEN015;Energéticos;76001.92
2025-02;VEN015;Isotônicos;48644.65
2025-02;VEN015;Cerveja Premium;55340.97
2025-02;VEN016;Energéticos;81273.62
2025-02;VEN016;Isotônicos;53087.91
2025-02;VEN016;Cerveja Premium;41394.11
2025-02;VEN017;Energéticos;103565.3
2025-02;VEN017;Isotônicos;57916.19
2025-02;VEN017;Cerveja Premium;46194.66
2025-02;VEN018;Energéticos;101588.82
2025-02;VEN018;Isotônicos;75956.13
2025-02;VEN018;Cerveja Premium;62652.72
2025-02;VEN019;Energéticos;101681.56
2025-02;VEN019;Isotônicos;49283.98
2025-02;VEN019;Cerveja Premium;51225.76
2025-02;VEN020;Energéticos;94352.48
2025-02;VEN020;Isotônicos;58235.75
2025-02;VEN020;Cerveja Premium;41460.39
2025-02;VEN021;Energéticos;90831.31
2025-02;VEN021;Isotônicos;50458.61
2025-02;VEN021;Cerveja Premium;43414.95
2025-02;VEN022;Energéticos;104037.88
2025-02;VEN022;Isotônicos;44953.15
2025-02;VEN022;Cerveja Premium;39097.97
2025-02;VEN023;Energéticos;89630.25
2025-02;VEN023;Isotônicos;58529.17
2025-02;VEN023;Cerveja Premium;46555.28
2025-02;VEN024;Energéticos;85157.41
2025-02;VEN024;Isotônicos;43754.96
2025-02;VEN024;Cerveja Premium;30150.26
2025-02;VEN025;Energéticos;88964.07
2025-02;VEN025;Isotônicos;62986.07
2025-02;VEN025;Cerveja Premium;47769.75
2025-02;VEN026;Energéticos;67281.63
2025-02;VEN026;Isotônicos;54186.21
2025-02;VEN026;Cerveja Premium;54224.07
2025-02;VEN027;Energéticos;74566.41
2025-02;VEN027;Isotônicos;53986.36
2025-02;VEN027;Cerveja Premium;53755.42
2025-02;VEN028;Energéticos;73260.72
2025-02;VEN028;Isotônicos;63684.6
2025-02;VEN028;Cerveja Premium;34792.94
2025-02;VEN029;Energéticos;98272.8
2025-02;VEN029;Isotônicos;48199.51
2025-02;VEN029;Cerveja Premium;51109.92
2025-02;VEN030;Energéticos;83930.19
2025-02;VEN030;Isotônicos;44725.59
2025-02;VEN030;Cerveja Premium;41447.27
2025-02;VEN031;Energéticos;73177.88
2025-02;VEN031;Isotônicos;72234.91
2025-02;VEN031;Cerveja Premium;45572.72
2025-02;VEN032;Energéticos;80721.37
2025-02;VEN032;Isotônicos;53727.29
2025-02;VEN032;Cerveja Premium;40757.74
2025-02;VEN033;Energéticos;74313.92
2025-02;VEN033;Isotônicos;55311.6
2025-02;VEN033;Cerveja Premium;62885.18
2025-02;VEN034;Energéticos;97730.87
2025-02;VEN034;Isotônicos;58928.04
2025-02;VEN034;Cerveja Premium;50798.84
2025-02;VEN035;Energéticos;69077.15
2025-02;VEN035;Isotônicos;47207.12
2025-02;VEN035;Cerveja Premium;45334.9
2025-02;VEN036;Energéticos;81471.48
2025-02;VEN036;Isotônicos;41835.83
2025-02;VEN036;Cerveja Premium;50906.19
2025-02;VEN037;Energéticos;113500.6
2025-02;VEN037;Isotônicos;56335.26
2025-02;VEN037;Cerveja Premium;48774.71
2025-02;VEN038;Energéticos;74360.46
2025-02;VEN038;Isotônicos;57425.59
2025-02;VEN038;Cerveja Premium;46734.39
2025-02;VEN039;Energéticos;75171.87
2025-02;VEN039;Isotônicos;48292.44
2025-02;VEN039;Cerveja Premium;50904.44
2025-02;VEN040;Energéticos;70876.19
2025-02;VEN040;Isotônicos;55788.77
2025-02;VEN040;Cerveja Premium;54910.64
2025-02;VEN041;Energéticos;93767.59
2025-02;VEN041;Isotônicos;64580.49
2025-02;VEN041;Cerveja Premium;44379.26
2025-02;VEN042;Energéticos;94659.32
2025-02;VEN042;Isotônicos;49223.54
2025-02;VEN042;Cerveja Premium;55169.38
2025-02;VEN043;Energéticos;91258.48
2025-02;VEN043;Isotônicos;66252.41
2025-02;VEN043;Cerveja Premium;38073.77
2025-02;VEN044;Energéticos;108046.32
2025-02;VEN044;Isotônicos;56744.27
2025-02;VEN044;Cerveja Premium;53485.83
2025-02;VEN045;Energéticos;107108.96
2025-02;VEN045;Isotônicos;58439.64
2025-02;VEN045;Cerveja Premium;55134.46
2025-02;VEN046;Energéticos;92023.05
2025-02;VEN046;Isotônicos;54233.31
2025-02;VEN046;Cerveja Premium;45932.31
2025-02;VEN047;Energéticos;99648.42
2025-02;VEN047;Isotônicos;54701.23
2025-02;VEN047;Cerveja Premium;46375.59
2025-02;VEN048;Energéticos;98876.57
2025-02;VEN048;Isotônicos;54816.14
2025-02;VEN048;Cerveja Premium;41739.14
2025-02;VEN049;Energéticos;71264.61
2025-02;VEN049;Isotônicos;57651.29
2025-02;VEN049;Cerveja Premium;38344.87
2025-02;VEN050;Energéticos;95328.42
2025-02;VEN050;Isotônicos;46056.22
2025-02;VEN050;Cerveja Premium;31406.34
2025-02;VEN051;Energéticos;83705.89
2025-02;VEN051;Isotônicos;69008.45
2025-02;VEN051;Cerveja Premium;39160.13
2025-02;VEN052;Energéticos;71614.38
2025-02;VEN052;Isotônicos;51752.41
2025-02;VEN052;Cerveja Premium;53034.89
2025-02;VEN053;Energéticos;84860.42
2025-02;VEN053;Isotônicos;54857.89
2025-02;VEN053;Cerveja Premium;57208.87
2025-02;VEN054;Energéticos;109630.48
2025-02;VEN054;Isotônicos;56680.38
2025-02;VEN054;Cerveja Premium;42971.07
2025-02;VEN055;Energéticos;77487.07
2025-02;VEN055;Isotônicos;61501.35
2025-02;VEN055;Cerveja Premium;35354.09
2025-02;VEN056;Energéticos;90228.79
2025-02;VEN056;Isotônicos;51852.05
2025-02;VEN056;Cerveja Premium;40612.26
2025-02;VEN057;Energéticos;98664.89
2025-02;VEN057;Isotônicos;56058.27
2025-02;VEN057;Cerveja Premium;35278.18
2025-02;VEN058;Energéticos;108829.87
2025-02;VEN058;Isotônicos;53241.0
2025-02;VEN058;Cerveja Premium;54972.5
2025-02;VEN059;Energéticos;99483.16
2025-02;VEN059;Isotônicos;50222.37
2025-02;VEN059;Cerveja Premium;48598.09
2025-02;VEN060;Energéticos;91936.29
2025-02;VEN060;Isotônicos;55969.85
2025-02;VEN060;Cerveja Premium;47829.82
2025-02;VEN061;Energéticos;94899.06
2025-02;VEN061;Isotônicos;61738.67
2025-02;VEN061;Cerveja Premium;37787.2
2025-02;VEN062;Energéticos;84883.67
2025-02;VEN062;Isotônicos;44527.62
2025-02;VEN062;Cerveja Premium;36406.71
2025-02;VEN063;Energéticos;104206.34
2025-02;VEN063;Isotônicos;49128.7
2025-02;VEN063;Cerveja Premium;42394.19
2025-02;VEN064;Energéticos;82126.27
2025-02;VEN064;Isotônicos;57006.65
2025-02;VEN064;Cerveja Premium;61508.82
2025-02;VEN065;Energéticos;103480.78
2025-02;VEN065;Isotônicos;50278.31
2025-02;VEN065;Cerveja Premium;46947.67
2025-02;VEN066;Energéticos;86797.42
2025-02;VEN066;Isotônicos;45556.65
2025-02;VEN066;Cerveja Premium;50539.33
2025-02;VEN067;Energéticos;91581.8
2025-02;VEN067;Isotônicos;61863.93
2025-02;VEN067;Cerveja Premium;45555.5
2025-02;VEN068;Energéticos;86800.78
2025-02;VEN068;Isotônicos;57432.01
2025-02;VEN068;Cerveja Premium;48299.06
2025-02;VEN069;Energéticos;73825.75
2025-02;VEN069;Isotônicos;53461.12
2025-02;VEN069;Cerveja Premium;52468.01
2025-02;VEN070;Energéticos;85828.57
2025-02;VEN070;Isotônicos;50661.37
2025-02;VEN070;Cerveja Premium;38408.27
2025-02;VEN071;Energéticos;82700.74
2025-02;VEN071;Isotônicos;55666.54
2025-02;VEN071;Cerveja Premium;50355.98
2025-02;VEN072;Energéticos;68296.5
2025-02;VEN072;Isotônicos;52817.08
2025-02;VEN072;Cerveja Premium;46461.07
2025-02;VEN073;Energéticos;74711.61
2025-02;VEN073;Isotônicos;62933.28
2025-02;VEN073;Cerveja Premium;40535.15
2025-02;VEN074;Energéticos;95779.37
2025-02;VEN074;Isotônicos;51844.88
2025-02;VEN074;Cerveja Premium;51239.46
2025-02;VEN075;Energéticos;92109.39
2025-02;VEN075;Isotônicos;44614.84
2025-02;VEN075;Cerveja Premium;54083.12
2025-02;VEN076;Energéticos;94909.37
2025-02;VEN076;Isotônicos;49227.62
2025-02;VEN076;Cerveja Premium;50377.33
2025-02;VEN077;Energéticos;114320.87
2025-02;VEN077;Isotônicos;58454.12
2025-02;VEN077;Cerveja Premium;37437.63
2025-02;VEN078;Energéticos;64111.13
2025-02;VEN078;Isotônicos;48306.07
2025-02;VEN078;Cerveja Premium;64234.26
2025-02;VEN079;Energéticos;88888.96
2025-02;VEN079;Isotônicos;63673.79
2025-02;VEN079;Cerveja Premium;32542.47
2025-02;VEN080;Energéticos;79929.72
2025-02;VEN080;Isotônicos;54968.13
2025-02;VEN080;Cerveja Premium;45027.51
2025-02;VEN081;Energéticos;73795.19
2025-02;VEN081;Isotônicos;60119.89
2025-02;VEN081;Cerveja Premium;53002.39
2025-02;VEN082;Energéticos;104950.91
2025-02;VEN082;Isotônicos;46122.87
2025-02;VEN082;Cerveja Premium;37073.13
2025-02;VEN083;Energéticos;85033.08
2025-02;VEN083;Isotônicos;42469.63
2025-02;VEN083;Cerveja Premium;58408.74
2025-02;VEN084;Energéticos;85208.4
2025-02;VEN084;Isotônicos;61449.35
2025-02;VEN084;Cerveja Premium;52746.38
2025-02;VEN085;Energéticos;94388.64
2025-02;VEN085;Isotônicos;54558.69
2025-02;VEN085;Cerveja Premium;61836.76
2025-02;VEN086;Energéticos;87602.03
2025-02;VEN086;Isotônicos;56352.55
2025-02;VEN086;Cerveja Premium;39484.31
2025-02;VEN087;Energéticos;91093.59
2025-02;VEN087;Isotônicos;37113.1
2025-02;VEN087;Cerveja Premium;59339.5
2025-02;VEN088;Energéticos;86284.34
2025-02;VEN088;Isotônicos;46117.97
2025-02;VEN088;Cerveja Premium;51943.34
2025-02;VEN089;Energéticos;98412.35
2025-02;VEN089;Isotônicos;77196.24
2025-02;VEN089;Cerveja Premium;41765.08
2025-02;VEN090;Energéticos;103374.34
2025-02;VEN090;Isotônicos;60537.89
2025-02;VEN090;Cerveja Premium;56120.3
2025-02;VEN091;Energéticos;70308.73
2025-02;VEN091;Isotônicos;43226.12
2025-02;VEN091;Cerveja Premium;38052.53
2025-02;VEN092;Energéticos;92756.54
2025-02;VEN092;Isotônicos;59996.42
2025-02;VEN092;Cerveja Premium;42174.15
2025-02;VEN093;Energéticos;65605.91
2025-02;VEN093;Isotônicos;49059.2
2025-02;VEN093;Cerveja Premium;51026.23
2025-02;VEN094;Energéticos;91841.66
2025-02;VEN094;Isotônicos;58539.52
2025-02;VEN094;Cerveja Premium;39737.93
2025-02;VEN095;Energéticos;105300.64
2025-02;VEN095;Isotônicos;44810.89
2025-02;VEN095;Cerveja Premium;53062.19
2025-02;VEN096;Energéticos;60762.02
2025-02;VEN096;Isotônicos;55256.46
2025-02;VEN096;Cerveja Premium;41133.61
2025-02;VEN097;Energéticos;81070.03
2025-02;VEN097;Isotônicos;39429.75
2025-02;VEN097;Cerveja Premium;60598.14
2025-02;VEN098;Energéticos;77475.68
2025-02;VEN098;Isotônicos;62310.46
2025-02;VEN098;Cerveja Premium;37759.22
2025-02;VEN099;Energéticos;103787.25
2025-02;VEN099;Isotônicos;49580.67
2025-02;VEN099;Cerveja Premium;63814.92
2025-02;VEN100;Energéticos;81958.45
2025-02;VEN100;Isotônicos;67389.06
2025-02;VEN100;Cerveja Premium;48926.49
2025-03;VEN001;Energéticos;98789.64
2025-03;VEN001;Isotônicos;52313.02
2025-03;VEN001;Cerveja Premium;44865.88
2025-03;VEN002;Energéticos;76446.89
2025-03;VEN002;Isotônicos;56083.11
2025-03;VEN002;Cerveja Premium;51833.71
2025-03;VEN003;Energéticos;79883.46
2025-03;VEN003;Isotônicos;56490.02
2025-03;VEN003;Cerveja Premium;39402.65
2025-03;VEN004;Energéticos;80630.24
2025-03;VEN004;Isotônicos;43114.02
2025-03;VEN004;Cerveja Premium;50721.16
2025-03;VEN005;Energéticos;66073.79
2025-03;VEN005;Isotônicos;64955.77
2025-03;VEN005;Cerveja Premium;52655.76
2025-03;VEN006;Energéticos;87178.82
2025-03;VEN006;Isotônicos;61403.45
2025-03;VEN006;Cerveja Premium;47989.42
2025-03;VEN007;Energéticos;55994.54
2025-03;VEN007;Isotônicos;54092.65
2025-03;VEN007;Cerveja Premium;61080.39
2025-03;VEN008;Energéticos;101882.22
2025-03;VEN008;Isotônicos;44187.93
